case,k_pi,nh_from,nh_to,eta,delta_E,delta_Z,spectral_l1,rest_spectral_l1,recursion_l1,reference_certified
A,0.0,10,12,0.05,1.6662799140476636e-08,1.4503250755915076e-07,0.04003039000115275,0.2679631516134608,3.38125675938033e-05,False
A,0.0,10,12,0.025,1.6662799140476636e-08,1.4503250755915076e-07,0.08249870995642239,0.55751510501352,0.0007300422393299847,False
A,0.0,10,12,0.1,1.6662799140476636e-08,1.4503250755915076e-07,0.011520784747235231,0.07565697621148842,1.0046493220042729e-07,False
A,0.0,10,12,0.2,1.6662799140476636e-08,1.4503250755915076e-07,0.0017037395059735843,0.010779275240822022,1.3744199632102461e-12,False
A,0.0,12,14,0.05,4.4555159561809887e-10,4.64699434488125e-09,0.028687962431803767,0.19203766290752905,7.244761123403949e-05,False
A,0.0,12,14,0.025,4.4555159561809887e-10,4.64699434488125e-09,0.06807901596799695,0.4600707283948119,0.00114157647552002,False
A,0.0,12,14,0.1,4.4555159561809887e-10,4.64699434488125e-09,0.006666802494846878,0.0437808660616265,3.964563042787652e-07,False
A,0.0,12,14,0.2,4.4555159561809887e-10,4.64699434488125e-09,0.0007398123723051389,0.004680436306488823,1.898209849843921e-11,True
A,0.0,14,16,0.05,1.2138290372831761e-11,1.4756895705403394e-10,0.021305922063799568,0.1426221854112006,9.906100548274251e-07,False
A,0.0,14,16,0.025,1.2138290372831761e-11,1.4756895705403394e-10,0.057103030361456995,0.385896234622725,0.00011224049233442422,False
A,0.0,14,16,0.1,1.2138290372831761e-11,1.4756895705403394e-10,0.0038672584589984006,0.025396267485626588,1.193337546238278e-10,False
A,0.0,14,16,0.2,1.2138290372831761e-11,1.4756895705403394e-10,0.00027866929854312127,0.0017629994513135815,1.4817401167773938e-15,True
A,0.0,16,18,0.05,3.4372504842394846e-13,4.5324854980322016e-12,0.01599970981436428,0.10710231715629272,2.077561786923391e-06,False
A,0.0,16,18,0.025,3.4372504842394846e-13,4.5324854980322016e-12,0.048231629886870256,0.3259442577605998,0.00017417416790728538,False
A,0.0,16,18,0.1,3.4372504842394846e-13,4.5324854980322016e-12,0.002327921627072625,0.015287449927837987,4.770772222667706e-10,False
A,0.0,16,18,0.2,3.4372504842394846e-13,4.5324854980322016e-12,0.00011763113526810704,0.0007441923362203546,1.6844525974688222e-15,True
A,0.0,18,20,0.05,1.1102230246251565e-14,1.1379786002407855e-13,0.012000055861937278,0.080328567739954,2.0473334627024915e-08,False
A,0.0,18,20,0.025,1.1102230246251565e-14,1.1379786002407855e-13,0.04115943598396723,0.27815111287084904,1.4994683589733697e-05,False
A,0.0,18,20,0.1,1.1102230246251565e-14,1.1379786002407855e-13,0.0013803937386184188,0.00906503888726629,7.738782414686361e-14,False
A,0.0,18,20,0.2,1.1102230246251565e-14,1.1379786002407855e-13,5.1158629398033116e-05,0.00032365460838652854,1.9535396771460597e-15,True
A,0.5,10,12,0.05,0.0012729250700631578,0.0011664898931481663,0.21110465802063094,0.21971577440464668,0.0002102670677308627,False
A,0.5,10,12,0.025,0.0012729250700631578,0.0011664898931481663,0.4051611702456412,0.4204044983592131,0.008280600765817327,False
A,0.5,10,12,0.1,0.0012729250700631578,0.0011664898931481663,0.07941377353410146,0.08326882949737376,4.427765246700831e-07,False
A,0.5,10,12,0.2,0.0012729250700631578,0.0011664898931481663,0.015757801356658687,0.017126022022084783,5.698323406991963e-12,False
A,0.5,12,14,0.05,0.0004609693582777741,0.0005534339552686618,0.16615348490942927,0.17285347548017801,0.00042338637699839847,False
A,0.5,12,14,0.025,0.0004609693582777741,0.0005534339552686618,0.307677746764204,0.31949584605555376,0.011772024993489972,False
A,0.5,12,14,0.1,0.0004609693582777741,0.0005534339552686618,0.052007466356735546,0.054359708260978835,1.519967491181891e-06,False
